time,cat
1982,4208.29
1982.25,5598.481
1982.5,4510.254
1982.75,3275.384
1983,5491.505
1983.25,7300.886
1983.5,5882.071
1983.75,4275.216
1984,5303.162
1984.25,7061.671
1984.5,5688.576
1984.75,4126.017
1985,4523.159
1985.25,6038.802
1985.5,4863.514
1985.75,3515.525
1986,4090.526
1986.25,5482.219
1986.5,4413.816
1986.75,3174.439
1987,3856.973
1987.25,5171.744
1987.5,4163.675
1987.75,2992.607
1988,3968.313
1988.25,5321.56
1988.5,4284.253
1988.75,3078.875
1989,3282.726
1989.25,4408.854
1989.5,3549.002
1989.75,2545.418
1990,3131.078
1990.25,4232.291
1990.5,3405.03
1990.75,2421.6
1991,3043.55
1991.25,4117.777
1991.5,3312.641
1991.75,2353.032
1992,3379.678
1992.25,4526.257
1992.5,3683.757
1992.75,2680.972
1993,2882.076
1993.25,3826.654
1993.5,3139.089
1993.75,2318.97
1994,2997.945
1994.25,2904.415
1994.5,2646.613
1994.75,2310.383
1995,2889.194
1995.25,4575.275
1995.5,3938.007
1995.75,2938.913
1996,2721.928
1996.25,3913.094
1996.5,2932.369
1996.75,2057.351
1997,2722.638
1997.25,3052.68
1997.5,3053.781
1997.75,1938.544
1998,2185.131
1998.25,2565.604
1998.5,2496.356
1998.75,2116.516
1999,1658.867
1999.25,2188.684
1999.5,2869.16
1999.75,1972.245
2000,2399.09
2000.25,2805.548
2000.5,2699.139
2000.75,1833.032
2001,1832.873
2001.25,2981.404
2001.5,2630.001
2001.75,1797.514
2002,1773.081
2002.25,2562.789
2002.5,2329.899
2002.75,1515.752
2003,1429.209
2003.25,2568.161
2003.5,2580.874
2003.75,1626.757
2004,1539.02
2004.25,2369.681
2004.5,2405.198
2004.75,1541.252
2005,2135.719
2005.25,2966.886
2005.5,2974.962
2005.75,2232.791
2006,2797.428
2006.25,4086.528
2006.5,4443.698
2006.75,2749.8
2007,3077.207
2007.25,5112.172
2007.5,5307.268
2007.75,3939.85
2008,4339.654
2008.25,4865.877
2008.5,6089.214
2008.75,3811.218
2009,5864.726
2009.25,6191.697
2009.5,5982.729
2009.75,4135.55
2010,4638.717
2010.25,6527.368
2010.5,3670.2
2010.75,2111.335
2011,5026.207
2011.25,5178.361
2011.5,5216.897
2011.75,3588.088
2012,4412.266
2012.25,4048.319
2012.5,3740.799
2012.75,4194.726
2013,2924.672
2013.25,3137.623
2013.5,4216.616
2013.75,3627.435
2014,3649.162
2014.25,4422.437
2014.5,3581.865
2014.75,2824.156
2015,2362.219
2015.25,3356.956
2015.5,4566.844
2015.75,3552.994
2016,3110.562
2016.25,4080.972
2016.5,4083.523
2016.75,3247.638
2017,3142.079
2017.25,2942.661
2017.5,2176.503
2017.75,2518.194
2018,2150.891
2018.25,3249.878
2018.5,3267.786
2018.75,3396.403
2019,3006.975
2019.25,3382.065
2019.5,3726.733
2019.75,2740.089
