year,SpCatch,SpCPUE,SpEffort,PtCatch,PtCPUE,PtCPUE_se,PtEffort
1985,944.9,20.57709059,45920,NA,NA,NA,NA
1986,841.5,21.13790505,39810,NA,NA,NA,NA
1987,695.2,20.0461361,34680,NA,NA,NA,NA
1988,698.06,16.54954955,42180,NA,NA,NA,NA
1989,715,16.08910891,44440,1847,41.76516766,3.115786167,44223.4547
1990,749.1,16.86022957,44430,1138,39.34345427,3.012351718,28924.7607
1991,501.16,12.39268051,40440,1245,35.43801248,4.234882496,35131.76707
1992,588.5,15.12464662,38910,1325,33.08521188,2.648921442,40048.10381
1993,513.843,11.54599587,44504,870,27.33709136,2.492047688,31824.89273
1994,472.9065,11.94526874,39589.44,788.9,33.16931806,3.424834932,23784.02832
1995,831.2304,20.05284184,41452,1026.1,41.90312627,3.654372455,24487.43307
1996,721.9894,20.20794335,35728,757.7,38.12231482,3.678767738,19875.49821
1997,732.4933,20.80296782,35211,896.6,44.6117444,4.74978064,20097.8467
1998,895.2185,27.49189264,32563,970.2,37.90039178,3.181533767,25598.67997
1999,690.6669,22.84583729,30231.63,1090.4,45.76606323,3.289264152,23825.51443
2000,589.7661,19.59225633,30102,1158.3,32.70037137,4.045429566,35421.61607
2001,597.2802,19.96057214,29923,1198.4,41.92830751,4.256045483,28582.12199
2002,231.8019,10.62190808,21823,965.4,41.17909462,2.759807344,23443.93457
2003,273.5799,14.79394031,18492.7,962.4,37.66379243,1.803516453,25552.39231
2004,259.4,12.28685108,21112,799.2,37.59564928,1.701682753,21257.7789
2005,330,16,20663.2,964.8,40.33647316,1.858949894,23918.79915
2006,517.566995,26.86705746,19264,907.9,37.74011981,2.537151463,24056.62739
2007,621.446,29.30676855,21201,723.9,36.04939804,1.472422955,20080.77914
2008,762,37.70037601,20212,935.9,43.30014219,1.761355198,21614.24773
2009,640,39.59905952,16162,963.7,40.65128469,1.632954012,23706.50786
2010,553,40.23573923,13744,727,40.72253207,1.71862579,17852.52446
2011,537.9,46.64412071,11532,493,41.07452231,1.991607125,12002.57416
2012,498,41.89556395,11886.7,814,48.86290898,1.760948493,16658.85263
2013,NA,NA,NA,811.5,46.18651097,1.660225384,17570.065
2014,NA,NA,NA,660.9,45.21569135,1.783021812,14616.60721
2015,NA,NA,NA,762.9,59.46861062,1.740584289,12828.61651
2016,NA,NA,NA,751.6,44.90234576,1.267923353,16738.54645
2017,NA,NA,NA,574.7,42.07720743,1.295651051,13658.2258
2018,NA,NA,NA,696.6553,43.18972613,1.266514774,16130.11617
2019,NA,NA,NA,801.3054,44.32476024,1.286207916,18078.05379
